Driver,Team,LapNumber,LapTime,Stint,Compound,TyreLife,Position,Year,GP,IsAccurate,Unnamed: 0,Length,Abrasion,Traction,Braking,TrackEvo,Grip,Lateral,Downforce,TyreStress,LapTimePerKM
LEC,Ferrari,3.0,96.62400000000001,1.0,SOFT,6.0,4.0,2019,Japan,False,3,5.807,4,3.0,2.0,3.0,3,5,4,5,16.639228517306698
LEC,Ferrari,25.0,99.203,2.0,MEDIUM,22.0,7.0,2019,Japan,False,3,5.807,4,3.0,2.0,3.0,3,5,4,5,17.08334768382986
LEC,Ferrari,46.0,96.816,3.0,SOFT,21.0,6.0,2019,Japan,False,3,5.807,4,3.0,2.0,3.0,3,5,4,5,16.67229206130532
STR,Aston Martin,18.0,99.403,1.0,SOFT,18.0,8.0,2019,Japan,False,3,5.807,4,3.0,2.0,3.0,3,5,4,5,17.11778887549509
MAG,Haas F1 Team,17.0,100.843,1.0,MEDIUM,17.0,15.0,2019,Japan,False,3,5.807,4,3.0,2.0,3.0,3,5,4,5,17.36576545548476
MAG,Haas F1 Team,47.0,98.974,2.0,HARD,30.0,17.0,2019,Japan,False,3,5.807,4,3.0,2.0,3.0,3,5,4,5,17.04391251937317
ALB,Red Bull Racing,15.0,98.40100000000001,1.0,SOFT,18.0,5.0,2019,Japan,False,3,5.807,4,3.0,2.0,3.0,3,5,4,5,16.94523850525228
ALB,Red Bull Racing,34.0,96.58200000000001,2.0,MEDIUM,19.0,4.0,2019,Japan,False,3,5.807,4,3.0,2.0,3.0,3,5,4,5,16.631995867057
KVY,AlphaTauri,27.0,102.11800000000001,1.0,SOFT,27.0,12.0,2019,Japan,False,3,5.807,4,3.0,2.0,3.0,3,5,4,5,17.58532805235061
HUL,Alpine,19.0,98.58200000000001,1.0,SOFT,19.0,6.0,2019,Japan,False,3,5.807,4,3.0,2.0,3.0,3,5,4,5,16.976407783709316
RIC,Alpine,29.0,100.221,1.0,MEDIUM,29.0,6.0,2019,Japan,False,3,5.807,4,3.0,2.0,3.0,3,5,4,5,17.25865334940589
VER,Red Bull Racing,14.0,99.94900000000001,1.0,SOFT,17.0,18.0,2019,Japan,False,3,5.807,4,3.0,2.0,3.0,3,5,4,5,17.211813328741176
NOR,McLaren,4.0,99.822,1.0,SOFT,7.0,8.0,2019,Japan,False,3,5.807,4,3.0,2.0,3.0,3,5,4,5,17.18994317203375
NOR,McLaren,25.0,101.533,2.0,MEDIUM,21.0,13.0,2019,Japan,False,3,5.807,4,3.0,2.0,3.0,3,5,4,5,17.484587566729807
HAM,Mercedes,21.0,98.272,1.0,SOFT,24.0,2.0,2019,Japan,False,3,5.807,4,3.0,2.0,3.0,3,5,4,5,16.92302393662821
